Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,VAT Fistula Measure Score Applied,Kt/V Comprehensive Achievement Measure Rate,ICH CAHPS Neph Comm and Caring Measure Score Applied,ICH CAHPS Quality of Dialysis Care and Ops Achievement Rate,ICH CAHPS Quality of Dialysis Care and Ops Improvement Rate,ICH CAHPS Quality of Dialysis Care and Ops Measure Score Applied,ICH CAHPS Providing Info to Patients Achievement Rate,ICH CAHPS Providing Info to Patients Improvement Rate,ICH CAHPS Providing Info to Patients Measure Score Applied,ICH CAHPS Overall Rating of Neph Achievement Rate,ICH CAHPS Overall Rating of Neph Improvement Rate,ICH CAHPS Overall Rating of Neph Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Staff Achievement Rate,ICH CAHPS Overall Rating of Dialysis Staff Improvement Rate,ICH CAHPS Overall Rating of Dialysis Staff Measure Score Applied,ICH CAHPS Overall Rating of Dialysis Facility Achievement Rate,ICH CAHPS Overall Rating of Dialysis Facility Improvement Rate,ICH CAHPS Overall Rating of Dialysis Facility Measure Score Applied,Serum Phosphorus Measure Score,Serum Phosphorus Reason for No Score (See Footnotes File),National Average Serum Phosphorus Measure Score,Anemia Management Measure Score,Anemia Management Reason for No Score (See Footnotes File),National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Measure Ratio,Number of Index Discharges in SRR Achievement Period,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,National Average SRR Measure Score,National Average SHR Measure Score,Total Performance Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
JACKSONVILLE BEACH DIALYSIS,102836,-,1711 5TH STREET SOUTH ,JACKSONVILLE BEACH,FL,32250,7,7,7.20%,Achievement,97.57%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,0,-,1.306,84,27,20.675,1.02,12,11.763,Achievement,5,5,47,1.00%,15-11-2006,FRESENIUS MEDICAL CARE,02-02-2007
CENTRAL ORLANDO DIALYSIS,102837,-,2548 N ORANGE BLOSSOM TRAIL #400 ,ORLANDO,FL,32804,7,7,6.33%,Achievement,98.09%,Achievement,70.26%,69.33%,Achievement,80.33%,82.92%,Achievement,76.80%,77.21%,Achievement,72.52%,73.53%,Achievement,86.93%,66.09%,Achievement,10,-,9,10,-,10,0,-,1.505,156,61,40.521,1.145,48,41.903,Achievement,5,5,55,0.50%,06-11-2006,DAVITA,07-08-2008
LAURAL MANOR DIALYSIS CENTER,102838,-,1950 LAUREL MANOR DRIVE #190 ,THE VILLAGES,FL,32162,7,10,2.57%,Achievement,98.37%,Achievement,59.14%,55.79%,Achievement,86.33%,82.46%,Achievement,64.24%,67.59%,Achievement,50.39%,49.71%,Achievement,58.45%,63.00%,Achievement,10,-,9,10,-,10,8,-,0.726,106,18,24.791,1.266,37,29.231,Achievement,5,5,74,No Reduction,06-11-2006,DAVITA,02-08-2006
MIAMI GARDENS DIALYSIS,102839,-,3363 NW 167TH ST ,OPA LOCKA,FL,33056,7,8,5.11%,Achievement,98.46%,Achievement,67.65%,76.19%,Achievement,88.42%,83.32%,Achievement,53.05%,45.81%,Achievement,61.62%,63.82%,Achievement,72.65%,68.87%,Achievement,10,-,9,10,-,10,7,-,0.843,70,13,15.428,1.229,10,8.136,Achievement,5,5,72,No Reduction,13-12-2006,DAVITA,02-01-2006
FLORIDA RENAL CENTER,102840,-,5300 W FLAGLER STREET ,CORAL GABLES,FL,33134,7,9,3.62%,Achievement,98.28%,Achievement,71.27%,73.05%,Achievement,84.30%,79.42%,Achievement,78.66%,61.40%,Achievement,67.75%,72.52%,Achievement,76.60%,67.36%,Achievement,10,-,9,10,-,10,0,-,1.369,107,40,29.213,1.127,17,15.084,Achievement,5,5,63,No Reduction,24-01-2007,DAVITA,18-06-2013
UNIVERSAL KIDNEY CENTER OF PEMBROKE PINES MIRAMAR,102841,-,18004 NW 6TH STREET ,HOLLYWOOD,FL,33029,7,10,0.00%,Achievement,93.16%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,5,-,9,10,-,10,3,-,1.126,40,11,9.564,1.009,6,5.944,Achievement,5,5,49,0.50%,11-01-2007,NOT A CHAIN,23-04-2011
DELRAY BEACH DIALYSIS CENTER LLC,102843,-,5130 LINTON BLVD SUITE G4 ,DELRAY BEACH,FL,33484,7,4,11.39%,Achievement,77.93%,N/A,No Rate,71.71%,N/A,No Rate,77.65%,N/A,No Rate,72.85%,N/A,No Rate,83.37%,N/A,No Rate,80.07%,N/A,7,-,9,9,-,10,10,-,0.52,93,12,23.099,1.332,25,18.768,Achievement,5,5,47,1.00%,13-06-2007,AMERICAN RENAL ASSOCIATES,02-12-2006
ARA - NAPLES DIALYSIS CENTER LLC,102844,-,4529 EXECUTIVE DRIVE ,NAPLES,FL,34119,7,5,10.22%,Achievement,97.62%,N/A,No Rate,67.69%,N/A,No Rate,87.99%,N/A,No Rate,75.28%,N/A,No Rate,72.43%,N/A,No Rate,77.62%,N/A,10,-,9,10,-,10,6,-,0.955,157,32,33.504,1.529,58,37.923,Improvement,5,5,65,No Reduction,04-05-2007,AMERICAN RENAL ASSOCIATES,21-07-2006
WEST PENSACOLA DIALYSIS CENTER,102845,-,598 FAIRFIELD DRIVE ,PENSACOLA,FL,32506,7,8,5.33%,Achievement,97.13%,Achievement,68.08%,No Rate,Achievement,81.69%,No Rate,Achievement,74.98%,No Rate,Achievement,71.89%,No Rate,Achievement,71.57%,No Rate,Achievement,10,-,9,10,-,10,7,-,0.816,85,18,22.072,0.596,9,15.102,Achievement,5,5,67,No Reduction,06-07-2007,DAVITA,05-08-2008
CAPE CORAL SOUTH DIALYSIS,102847,-,3046 DEL PRADO BLVD SOUTH  SUITE 4A ,CAPE CORAL,FL,33904,7,6,8.01%,Achievement,95.93%,N/A,No Rate,47.63%,N/A,No Rate,74.43%,N/A,No Rate,41.70%,N/A,No Rate,42.31%,N/A,No Rate,48.24%,N/A,10,-,9,10,-,10,5,-,0.949,108,28,29.514,1.038,16,15.415,Achievement,5,5,52,0.50%,17-08-2007,DAVITA,02-11-2006
DCI UNIVERSITY OF FLORIDA,102848,-,3850 NW 83RD STREET STE 101 ,GAINESVILLE,FL,32606,7,2,15.63%,Improvement,98.71%,Achievement,69.94%,No Rate,Achievement,79.24%,No Rate,Achievement,37.06%,No Rate,Achievement,81.76%,No Rate,Achievement,88.46%,No Rate,Achievement,10,-,9,10,-,10,10,-,0.343,57,5,14.576,0.915,19,20.761,Achievement,5,5,74,No Reduction,01-08-2007,"DIALYSIS CLINIC, INC.",20-12-2017
BRADENTON DIALYSIS CENTER LLC,102849,-,5837 WEST 21ST AVENUE ,BRADENTON,FL,34209,7,4,12.28%,Achievement,97.58%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.067,114,28,26.239,0.968,30,30.983,Achievement,5,5,55,0.50%,12-09-2007,AMERICAN RENAL ASSOCIATES,02-08-2007
REGENCY DIALYSIS CENTER,102850,-,9535 REGENCY SQUARE BLVD ,JACKSONVILLE,FL,32225,7,2,14.48%,Achievement,97.88%,Achievement,84.06%,No Rate,Achievement,85.98%,No Rate,Achievement,73.93%,No Rate,Achievement,82.56%,No Rate,Achievement,92.62%,No Rate,Achievement,10,-,9,10,-,10,5,-,0.982,59,15,15.267,1.332,35,26.277,Achievement,5,5,68,No Reduction,26-09-2007,DAVITA,14-11-2015
INDIAN RIVER DIALYSIS CENTER,102851,-,2150 45TH STREET SUITE 102,VERO BEACH,FL,32967,7,7,7.80%,Achievement,96.52%,Achievement,56.82%,56.91%,Achievement,80.39%,83.81%,Achievement,65.24%,66.66%,Achievement,57.84%,57.43%,Achievement,65.47%,63.58%,Achievement,9,-,9,10,-,10,6,-,0.883,125,27,30.561,1.172,49,41.81,Achievement,5,5,62,No Reduction,17-09-2007,DAVITA,02-06-2007
SOUTHWEST FLORIDA DIALYSIS CENTER,102853,-,520 MANATEE AVE EAST ,BRADENTON,FL,34208,7,4,11.26%,Achievement,98.42%,N/A,No Rate,66.54%,N/A,No Rate,85.73%,N/A,No Rate,53.03%,N/A,No Rate,78.37%,N/A,No Rate,76.01%,N/A,10,-,9,10,-,10,4,-,1.03,89,20,19.423,1.163,19,16.337,Achievement,5,5,70,No Reduction,07-12-2007,FRESENIUS MEDICAL CARE,02-06-2007
RENAL CARE PARTNERS OF DELRAY BEACH LLC,102854,-,15300 JOG ROAD SUITE 104,DELRAY BEACH,FL,33446,7,5,9.62%,Achievement,96.84%,Achievement,68.91%,64.63%,Achievement,78.03%,72.03%,Achievement,60.88%,66.22%,Achievement,80.48%,70.63%,Achievement,85.41%,84.77%,Achievement,10,-,9,10,-,10,5,-,0.925,79,19,20.546,1,22,22.007,Achievement,5,5,70,No Reduction,21-11-2007,RENAL CARE PARTNERS,20-04-2007
FMC - CORAL SPRINGS,102855,-,850 RIVERSIDE DRIVE ,POMPANO BEACH,FL,33071,7,0,17.84%,Achievement,95.72%,Achievement,69.11%,No Rate,Achievement,77.22%,No Rate,Achievement,80.02%,No Rate,Achievement,73.90%,No Rate,Achievement,81.24%,No Rate,Achievement,8,-,9,10,-,10,0,-,1.376,168,56,40.71,0.928,22,23.705,Achievement,5,5,46,1.00%,02-01-2008,FRESENIUS MEDICAL CARE,02-01-2008
FMC - NARANJA,102856,-,26585 S DIXIE HIGHWAY ,HOMESTEAD,FL,33032,7,5,10.29%,Achievement,96.94%,Achievement,70.41%,70.98%,Achievement,81.59%,80.20%,Achievement,61.72%,65.60%,Achievement,77.30%,78.05%,Achievement,79.02%,81.79%,Achievement,10,-,9,10,-,10,5,-,0.94,66,17,18.078,0.959,9,9.384,Achievement,5,5,66,No Reduction,23-01-2008,FRESENIUS MEDICAL CARE,28-08-2007
CASSELBERRY DIALYSIS,102857,-,4970 SOUTH US HWY 17-92 ,CASSELBERRY,FL,32707,7,6,9.00%,Achievement,95.85%,N/A,No Rate,67.69%,N/A,No Rate,86.33%,N/A,No Rate,49.51%,N/A,No Rate,61.27%,N/A,No Rate,62.08%,N/A,8,-,9,10,-,10,3,-,1.079,137,38,35.226,1.366,58,42.475,Achievement,5,5,49,0.50%,20-12-2007,DAVITA,02-06-2007
WINTER PARK HEMO DIALYSIS,102858,-,4100 METRIC DRIVE STE 300 ,WINTER PARK,FL,32792,7,2,15.12%,Improvement,94.38%,Achievement,48.38%,64.87%,Achievement,68.68%,81.32%,Achievement,43.96%,57.56%,Achievement,39.71%,72.26%,Achievement,55.69%,70.57%,Achievement,9,-,9,10,-,10,1,-,1.223,184,61,49.888,1.274,70,54.956,Achievement,5,5,30,1.50%,18-12-2007,DAVITA,02-06-2007
WINTER PARK DIALYSIS,102859,-,3727 N GOLDENROD RD ,WINTER PARK,FL,32792,7,10,0.80%,Improvement,97.49%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,1,-,1.209,110,33,27.302,1.169,22,18.818,Achievement,5,5,58,0.50%,31-03-2008,DAVITA,02-12-2007
UNIVERSAL KIDNEY CENTER OF MARGATE-CORAL SPRINGS LLC,102860,-,2800 N STATE ROAD 7 ,MARGATE,FL,33063,7,6,8.26%,Achievement,78.32%,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,No Rate,No Rate,Achievement,3,-,9,10,-,10,0,-,1.497,50,18,12.027,0.876,8,9.135,Achievement,5,5,10,2.00%,01-04-2008,NOT A CHAIN,02-09-2006
GOLDTREE KIDNEY CENTER LLC,102861,-,1407 SOUTHEAST GOLDTREE DRIVE STE A ,PORT SAINT LUCIE,FL,34952,7,5,10.13%,Achievement,99.22%,Achievement,74.51%,77.09%,Achievement,86.43%,89.11%,Achievement,60.00%,73.92%,Achievement,76.80%,81.36%,Achievement,78.45%,82.86%,Achievement,10,-,9,10,-,10,2,-,1.138,147,44,38.67,0.968,45,46.5,Achievement,5,5,58,0.50%,23-04-2008,AMERICAN RENAL ASSOCIATES,02-02-2008
WEST BEACH DIALYSIS CENTER,102863,-,16201 SUITE 102 PANAMA CITY BEACH PKWY ,PANAMA CITY,FL,32413,7,10,2.10%,Achievement,96.28%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,10,-,0.598,18,3,5.02,0.54,4,7.411,Achievement,5,5,79,No Reduction,20-02-2008,DAVITA,23-07-2010
GATEWAY DIALYSIS CENTER,102864,-,5258-10 NORWOOD AVENUE ,JACKSONVILLE,FL,32208,7,7,6.78%,Achievement,99.28%,Achievement,66.34%,No Rate,Achievement,81.36%,No Rate,Achievement,57.37%,No Rate,Achievement,57.94%,No Rate,Achievement,70.56%,No Rate,Achievement,10,-,9,10,-,10,4,-,1.055,100,30,28.444,0.784,32,40.817,Achievement,5,5,61,No Reduction,11-08-2008,"DIALYSIS CLINIC, INC.",12-08-2008
FMC - MACCLENNY,102865,-,244 NORTH 3RD STREET ,MACCLENNY,FL,32063,7,3,18.43%,Achievement,99.14%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,5,-,0.937,64,17,18.14,0.731,7,9.579,Achievement,5,5,62,No Reduction,03-09-2008,FRESENIUS MEDICAL CARE,04-09-2008
MIRAMAR KIDNEY CENTER,102866,-,2501 DYKES RD SUITE 200 ,MIRAMAR,FL,33027,7,5,10.00%,Achievement,96.90%,N/A,No Rate,70.33%,N/A,No Rate,80.58%,N/A,No Rate,49.66%,N/A,No Rate,78.23%,N/A,No Rate,81.07%,N/A,10,-,9,10,-,10,2,-,1.19,60,17,14.28,0.717,11,15.339,Achievement,5,5,49,0.50%,02-10-2008,DAVITA,02-10-2008
FRESENIUS KIDNEY CARE PALM COAST,102867,-,515 PALM COAST PARKWAY SW ROMA COURT #2 #3 #4,PALM COAST,FL,32137,7,3,13.64%,Achievement,99.66%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,7,-,0.832,17,4,3.6,1.114,8,7.18,Achievement,5,5,81,No Reduction,12-11-2008,FRESENIUS MEDICAL CARE,01-03-2019
JOHNSON DIALYSIS CENTER LLC,102868,-,7769 JOHNSON ST ,PEMBROKE PINES,FL,33024,7,8,4.73%,Achievement,98.25%,Achievement,68.71%,No Rate,Achievement,73.98%,No Rate,Achievement,59.17%,No Rate,Achievement,65.08%,No Rate,Achievement,67.11%,No Rate,Achievement,10,-,9,10,-,10,5,-,0.923,78,18,19.504,0.974,27,27.718,Achievement,5,5,65,No Reduction,01-10-2008,NOT A CHAIN,02-08-2008
FMC - DEFUNIAK SPRINGS,102869,-,43 SHOEMAKER DR ,DEFUNIAK SPRINGS,FL,32433,7,4,11.01%,Achievement,97.83%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,3,-,1.1,97,27,24.552,1.161,12,10.339,Achievement,5,5,49,0.50%,10-11-2008,FRESENIUS MEDICAL CARE,03-06-2015
NORMANDY VILLAGE DIALYSIS CENTER,102870,-,1584 NORMANDY VILLAGE PKWY #29 ,JACKSONVILLE,FL,32221,7,9,3.63%,Achievement,99.52%,Achievement,64.41%,61.12%,Achievement,91.43%,87.86%,Achievement,47.65%,55.17%,Achievement,61.28%,62.59%,Achievement,77.32%,68.99%,Achievement,10,-,9,10,-,10,5,-,0.952,161,39,40.986,0.919,35,38.099,Achievement,5,5,62,No Reduction,03-12-2008,AMERICAN RENAL ASSOCIATES,02-12-2013
FMC - MANDARIN,102871,-,9143 PHILIPS HWY SUITE 110 ,JACKSONVILLE,FL,32256,7,3,14.57%,Achievement,94.86%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,5,-,0.974,89,22,22.593,1.144,15,13.109,Achievement,5,5,50,0.50%,23-01-2009,FRESENIUS MEDICAL CARE,23-01-2009
KIDNEY SPA LLC,102872,-,219 NW 12TH AVE #C4 ,MIAMI,FL,33128,7,2,14.14%,Achievement,99.03%,Achievement,77.17%,85.80%,Achievement,80.74%,87.64%,Achievement,79.25%,87.44%,Achievement,79.63%,88.31%,Achievement,83.18%,93.89%,Achievement,10,-,9,10,-,10,0,-,1.371,116,40,29.167,1.419,76,53.564,Achievement,5,5,54,0.50%,02-02-2009,NOT A CHAIN,11-12-2015
JACKSONVILLE SOUTH DIALYSIS CENTER,102873,-,14965 OLD ST AUGUSTINE RD UNIT 114 ,JACKSONVILLE,FL,32258,7,1,15.83%,Achievement,96.26%,Achievement,61.84%,68.93%,Achievement,87.25%,78.78%,Achievement,65.49%,65.91%,Achievement,72.38%,67.08%,Achievement,63.65%,72.74%,Achievement,9,-,9,10,-,10,0,-,1.449,129,50,34.508,1.207,52,43.089,Achievement,5,5,44,1.00%,06-02-2009,DAVITA,02-10-2008
FRESENIUS KIDNEY CARE-DUNEDIN,102874,-,1121 OVERCASH DRIVE SUITE A,DUNEDIN,FL,34698,7,6,9.21%,Achievement,96.91%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,10,-,0.595,59,11,18.489,1.153,27,23.414,Achievement,5,5,69,No Reduction,17-02-2009,FRESENIUS MEDICAL CARE,02-08-2017
AVENTURA KIDNEY CENTER,102875,-,22 SW 11TH STREET ,HALLANDALE BEACH,FL,33009,7,4,11.40%,Achievement,96.71%,N/A,No Rate,60.33%,N/A,No Rate,72.15%,N/A,No Rate,68.00%,N/A,No Rate,57.59%,N/A,No Rate,55.72%,N/A,9,-,9,10,-,10,5,-,0.926,77,19,20.523,0.836,10,11.955,Achievement,5,5,62,No Reduction,04-02-2009,DAVITA,02-08-2008
WESTERN COMMUNITY DIALYSIS CENTER LLC,102876,-,11301 OKEECHOBEE BLVD ,ROYAL PALM BEACH,FL,33411,7,6,8.42%,Achievement,97.55%,Achievement,79.86%,No Rate,Achievement,89.14%,No Rate,Achievement,72.88%,No Rate,Achievement,84.05%,No Rate,Achievement,89.87%,No Rate,Achievement,9,-,9,10,-,10,6,-,0.894,75,15,16.78,1.289,37,28.696,Achievement,5,5,72,No Reduction,21-12-2009,AMERICAN RENAL ASSOCIATES,21-12-2009
ARA NORTH JACKSONVILLE,102877,-,1725 OAKHURST AVENUE SUITE 100 ,JACKSONVILLE,FL,32208,7,6,8.30%,Achievement,99.31%,Achievement,70.58%,67.75%,Achievement,85.59%,89.53%,Achievement,73.58%,70.76%,Achievement,72.59%,73.73%,Achievement,80.25%,82.18%,Achievement,10,-,9,10,-,10,3,-,1.108,115,33,29.795,0.992,27,27.226,Achievement,5,5,63,No Reduction,10-04-2009,AMERICAN RENAL ASSOCIATES,10-04-2009
ADVANCED DIALYSIS CENTER OF FT LAUDERDALE,102878,-,911 E OAKLAND PARK BLVD ,OAKLAND PARK,FL,33334,7,3,12.92%,Achievement,95.17%,Achievement,70.16%,69.20%,Achievement,75.78%,80.01%,Achievement,63.07%,65.59%,Achievement,53.20%,70.70%,Achievement,52.23%,61.87%,Achievement,9,-,9,10,-,10,4,-,1.24,147,31,24.992,1.757,62,35.295,Improvement,5,5,46,1.00%,03-06-2009,DAVITA,27-04-2015
FMC - OCEANWAY,102879,-,12961 NORTH MAIN ST SUITE 305 ,JACKSONVILLE,FL,32218,7,2,17.93%,Improvement,97.93%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,10,-,9,10,-,10,4,-,1.031,100,30,29.088,1.31,27,20.611,Achievement,5,5,59,No Reduction,03-06-2009,FRESENIUS MEDICAL CARE,23-05-2014
WINTER GARDEN DIALYSIS,102880,-,1222 WINTER GARDEN VINELAND ROAD BLDG 3 SUITE 100,WINTER GARDEN,FL,34787,7,6,8.87%,Achievement,96.34%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,0,-,1.499,69,26,17.348,1.074,17,15.825,Achievement,5,5,45,1.00%,27-05-2009,DAVITA,02-02-2009
LEHIGH ACRES DIALYSIS CENTER LLC,102882,-,3227 LEE BOULEVARD UNIT A,LEHIGH ACRES,FL,33971,7,8,5.62%,Achievement,95.49%,Improvement,64.82%,61.97%,Achievement,85.39%,80.47%,Achievement,47.43%,37.84%,Improvement,66.05%,62.46%,Achievement,66.93%,53.94%,Achievement,10,-,9,10,-,10,7,-,0.78,116,21,26.926,1.062,18,16.945,Achievement,5,5,58,0.50%,22-06-2009,AMERICAN RENAL ASSOCIATES,02-05-2009
RENAL CAREPARTNERS AT MEMORIAL WEST LLC,102883,-,601 N FLAMINGO ROAD STE 109 ,HOLLYWOOD,FL,33028,7,7,6.55%,Achievement,98.31%,Achievement,61.79%,67.58%,Achievement,80.58%,77.98%,Achievement,76.87%,67.01%,Achievement,66.73%,78.76%,Achievement,72.78%,75.08%,Achievement,10,-,9,10,-,10,0,-,1.524,83,32,20.995,1.32,30,22.728,Achievement,5,5,58,0.50%,20-07-2009,RENAL CARE PARTNERS,03-09-2007
ORLANDO PARK DIALYSIS,102884,-,"5397 WEST COLONIAL DRIVE, SUITE #120 ",ORLANDO,FL,32808,7,6,7.99%,Improvement,94.48%,Achievement,50.14%,55.24%,Achievement,74.89%,76.60%,Achievement,35.95%,37.26%,Achievement,40.99%,48.67%,Achievement,47.91%,58.79%,Achievement,7,-,9,10,-,10,3,-,1.128,165,45,39.901,1.153,17,14.747,Achievement,5,5,38,1.50%,28-07-2009,DAVITA,16-10-2017
GREATER TAMPA AT HOME,102885,-,4204 N. MAC DILL AVE NORTH BLDG. SUITE 1,TAMPA,FL,33607,7,5,17.28%,Achievement,96.50%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,3,-,1.095,50,14,12.788,1.33,25,18.802,Achievement,5,5,51,0.50%,01-10-2009,DAVITA,03-04-2008
EAST TAMPA DIALYSIS,102886,-,1701 E 9TH AVENUE ,YBOR CITY,FL,33605,7,7,6.30%,Achievement,91.26%,Achievement,49.92%,55.59%,Achievement,78.86%,79.62%,Achievement,68.02%,58.80%,Achievement,42.87%,47.99%,Achievement,49.54%,46.42%,Achievement,6,-,9,10,-,10,1,-,1.206,139,42,34.838,1.344,49,36.47,Achievement,5,5,41,1.00%,10-12-2009,DAVITA,17-11-2014
WESLEY CHAPEL DIALYSIS,102887,-,27401 CASHFORD CIRCLE #102 ,WESLEY CHAPEL,FL,33544,7,No Score,No Rate,N/A,99.50%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,6,-,0.915,23,6,5.26,0.844,5,5.922,Achievement,5,5,69,No Reduction,22-03-2010,DAVITA,28-07-2010
GATEWAY DIALYSIS,102888,-,5705 LEE BLVD #16 ,LEHIGH ACRES,FL,33971,7,8,5.09%,Achievement,97.64%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,7,-,9,10,-,10,1,-,1.271,60,18,14.164,0.402,4,9.955,Achievement,5,5,51,0.50%,24-03-2010,DAVITA,03-07-2009
PINELLAS WEST SHORE DIALYSIS,102889,-,3451 66TH STREET N ,SAINT PETERSBURG,FL,33710,7,9,4.10%,Achievement,98.45%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,8,-,9,10,-,10,10,-,0.545,37,4,7.341,0.965,15,15.547,Achievement,5,5,79,No Reduction,05-04-2010,DAVITA,03-12-2009
AVE MARIA DIALYSIS,102890,-,5340 USEPPA DRIVE SUITE 101 ,AVE MARIA,FL,34142,7,7,7.06%,Achievement,97.40%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,9,-,9,10,-,10,10,-,0.617,49,7,11.336,1.089,10,9.184,Achievement,5,5,67,No Reduction,20-04-2010,DAVITA,20-04-2010
FMC - TRADITION,102891,-,1748 SW ST LUCIE WEST BLVD ,PORT SAINT LUCIE,FL,34986,7,9,4.30%,Achievement,97.17%,Achievement,63.33%,64.50%,Achievement,80.55%,82.30%,Achievement,67.81%,75.74%,Achievement,69.82%,72.30%,Achievement,74.98%,78.67%,Achievement,10,-,9,10,-,10,2,-,1.152,91,25,21.695,1.293,10,7.734,Achievement,5,5,59,No Reduction,13-05-2010,FRESENIUS MEDICAL CARE,13-05-2010
PALM BREEZE DIALYSIS,102892,-,14942 TAMIAMI TRAIL SUITE G ,NORTH PORT,FL,34287,7,3,13.71%,Achievement,97.28%,N/A,No Rate,69.05%,N/A,No Rate,84.02%,N/A,No Rate,50.73%,N/A,No Rate,81.00%,N/A,No Rate,76.83%,N/A,9,-,9,10,-,10,8,-,0.758,65,13,17.149,1.029,21,20.418,Achievement,5,5,66,No Reduction,02-04-2010,DAVITA,02-04-2010
FMC - THE GLADES,102893,-,16740 SW 88TH STREET ,MIAMI,FL,33196,7,6,8.78%,Achievement,99.35%,N/A,No Rate,69.99%,N/A,No Rate,82.24%,N/A,No Rate,64.89%,N/A,No Rate,78.03%,N/A,No Rate,85.29%,N/A,10,-,9,10,-,10,2,-,1.167,86,24,20.573,0.938,13,13.855,Achievement,5,5,65,No Reduction,07-07-2010,FRESENIUS MEDICAL CARE,03-01-2010
KIDNEY KARE OUTPATIENT SERVICES,102894,-,326 E DANIA BEACH BLVD ,DANIA,FL,33004,7,No Score,No Rate,N/A,93.21%,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Rate,No Rate,N/A,No Score,1,9,No Score,1,10,No Score,13,No Ratio,<11,,,1.997,,,N/A,5,5,67,No Reduction,07-07-2010,NOT A CHAIN,07-07-2010
FLORIDA DIALYSIS CENTER OF ORLANDO LLC,102896,-,1711 35TH STREET #109 ,ORLANDO,FL,32839,7,4,11.54%,Achievement,95.20%,Achievement,59.45%,No Rate,Achievement,80.85%,No Rate,Achievement,55.23%,No Rate,Achievement,54.09%,No Rate,Achievement,68.90%,No Rate,Achievement,10,-,9,10,-,10,3,-,1.074,152,44,40.981,1.141,41,35.948,Achievement,5,5,44,1.00%,11-10-2010,AMERICAN RENAL ASSOCIATES,25-04-2012
